날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,3BB57D03-49E6-B515-DC91-EE8204978B8E,모두락,애경,,,,방문 제휴식당,,,596,18,614,0,0,614,604,54,6218100,1258,장,0,0,0,1258,6218100,6218100,0,6218100,0,서울특별시,강서구,과해동,,,
2020-01-01,3846BAC6-724C-2C18-A6A8-6AE4017D949E,데코페이브,미설정(기본그룹),,,,방문 제휴식당,,,46,76,122,0,0,122,72,16,869500,869500,원,0,0,0,869500,869500,847656,21844,869500,0,서울특별시,송파구,문정동,,,
2020-01-01,6B304FE1-13EE-04B8-53A2-63692CEA1660,현대디에프,현대백화점,,,,방문 제휴식당,,,874,1524,2394,4,0,2398,1322,178,19007280,19007280,원,0,0,0,19007280,19007280,18559878,447402,19007280,0,서울특별시,강남구,대치동,,,
2020-01-01,854D5F55-4864-A684-C200-5BCF791C60DF,카카오엔터테인먼트(x),카카오,,,,방문 제휴식당,,,2961,2244,5205,0,0,5205,3632,316,44137300,44120300,원,0,0,0,44120300,44120300,43292276,828024,44120300,0,경기도,성남시 분당구,삼평동,,,
2020-01-01,FD5CA8ED-93F2-4346-BB46-67243C7AED0D,큐리오시스,미설정(기본그룹),,,,배달식사,,,90,0,79,11,0,90,90,9,418400,418400,원,0,0,0,418400,418400,384928,33472,418400,0,서울특별시,강남구,역삼동,,,
2020-01-01,A61C4C0C-5A48-49B7-896A-7839FBAA47C0,에이케이켐텍,미설정(기본그룹),,,,방문 제휴식당,,,346,746,1092,0,0,1092,525,54,6842310,6842310,원,0,0,0,6842310,6842310,6732615,109695,6842310,0,서울특별시,서울특별시,마포구,,,
2020-01-01,6159BB0C-08F1-53DF-ACDE-A3DCC61F003C,한미헬스케어(x),한미약품,,,,방문 제휴식당,,,707,2305,3006,2,4,3012,1305,204,17843258,17843258,원,0,0,0,17843258,17843258,17486676,356582,17843258,0,서울특별시,송파구,방이동,,,
2020-01-01,C37E1F5D-D494-4EF1-B05D-4538658CE83F,발렉스서비스,팬택씨앤아이,,,,방문 제휴식당,,,2086,0,2082,2,2,2086,2086,140,8266500,8266500,원,0,0,0,8266500,8266500,8139101,127399,8266500,0,서울특별시,강남구,삼성동,,,
2020-01-01,3CF4D3AC-C7BD-1590-6A63-B146AF4E6630,포스트포나인즈,미설정(기본그룹),,,,방문/전화배달 제휴식당,,,32,279,311,0,0,311,129,36,2750200,2750200,원,0,0,0,2750200,2750200,2676895,73305,2750200,0,서울특별시,강남구,논현동,,,
2020-01-01,426EC96E-69FE-4DB1-A38C-0E8685178C2E,재단법인 여의도연구원,미설정(기본그룹),,,,방문 제휴식당,,,56,35,91,0,0,91,68,14,1987600,1987600,원,0,0,0,1987600,1987600,1950742,36858,1987600,0,서울특별시,영등포구,영등포동7가,,,
